epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3135.85,1.64091,1.20908,0.01214,0.43527,0.47438,0.36524,0.14496,2.14596,2.1796,0.01392,0.00128192,0.00128192,0.00128192
72,3180.35,1.57131,1.13399,0.01144,0.52249,0.41725,0.39635,0.17013,2.00507,2.15194,0.0132,0.00127642,0.00127642,0.00127642
73,3226.02,1.58923,1.13054,0.01172,0.43393,0.42013,0.34151,0.14944,1.94109,2.31215,0.01294,0.00127092,0.00127092,0.00127092
74,3274.45,1.5415,1.1226,0.01122,0.41208,0.4396,0.33257,0.13809,2.04745,2.32841,0.01334,0.00126542,0.00126542,0.00126542
75,3320.31,1.53569,1.07025,0.0109,0.42903,0.41328,0.31714,0.12976,2.06702,2.3768,0.01329,0.00125992,0.00125992,0.00125992
76,3363.06,1.4915,1.04589,0.01038,0.49782,0.3956,0.35338,0.15301,1.97205,2.23354,0.01263,0.00125442,0.00125442,0.00125442
77,3407.1,1.57186,1.12653,0.01137,0.45199,0.45617,0.38567,0.16683,1.97857,2.11483,0.01315,0.00124892,0.00124892,0.00124892
78,3455.38,1.57753,1.17575,0.01155,0.39622,0.43057,0.32019,0.13273,2.01422,2.41407,0.01313,0.00124342,0.00124342,0.00124342
79,3505.96,1.59874,1.09968,0.01132,0.44158,0.44503,0.38061,0.16745,1.97914,2.05755,0.01261,0.00123791,0.00123791,0.00123791
80,3555.91,1.54776,1.14281,0.01197,0.43957,0.46233,0.38073,0.16891,2.00723,2.30055,0.0127,0.00123241,0.00123241,0.00123241
81,3600.99,1.49408,1.06823,0.01035,0.45844,0.489,0.38454,0.15973,2.01921,2.11391,0.01326,0.00122691,0.00122691,0.00122691
82,3648.64,1.57586,1.08609,0.01086,0.45795,0.3865,0.32931,0.13314,2.02582,2.25612,0.01311,0.00122141,0.00122141,0.00122141
83,3704.93,1.5572,1.14663,0.01168,0.4509,0.37792,0.33594,0.14118,2.0611,2.41781,0.01253,0.00121591,0.00121591,0.00121591
84,3752.92,1.50662,1.07667,0.01074,0.43833,0.4652,0.38329,0.1606,2.00537,2.14736,0.0122,0.00121041,0.00121041,0.00121041
85,3800.31,1.51021,1.07996,0.01093,0.45761,0.4872,0.39631,0.16533,2.04979,2.03096,0.01307,0.00120491,0.00120491,0.00120491
86,3844.82,1.52472,1.08483,0.01189,0.48522,0.42773,0.35239,0.14825,2.06003,2.08204,0.01318,0.00119941,0.00119941,0.00119941
87,3889.54,1.53365,1.08619,0.01105,0.43646,0.3837,0.30301,0.12225,2.0631,2.50009,0.01313,0.00119391,0.00119391,0.00119391
88,3936.64,1.49874,1.05906,0.01054,0.43393,0.44922,0.35265,0.14244,1.99485,2.19157,0.01308,0.0011884,0.0011884,0.0011884
89,3987.95,1.43488,0.99909,0.01074,0.54078,0.40585,0.36718,0.14389,2.00512,2.29995,0.01304,0.0011829,0.0011829,0.0011829
90,4032.99,1.49669,1.06553,0.01075,0.41236,0.51858,0.40266,0.17291,2.00472,1.93698,0.01223,0.0011774,0.0011774,0.0011774
